qubit,n_bits,global_bias,min_entropy_per_bit,nist_pass_rate,nist_tests_run,nist_na,next_bit_verdict,markov_verdict,serial_correlation,serial_correlation_ok,nist_ok,next_bit_ok,markov_ok,verdict,reset_error_imputed
0,100,0.030000000000000027,0.9159357352115255,0.0,0,True,INCONCLUSIVE,PASS,0.06833060556464812,True,False,False,True,FAIL,True
1,100,0.030000000000000027,0.9159357352115255,0.0,0,True,INCONCLUSIVE,PASS,-0.1151168423673729,True,False,False,True,FAIL,True
2,100,0.16000000000000003,0.5994620704162712,0.0,0,True,INCONCLUSIVE,PASS,0.014479638009049608,True,False,False,True,FAIL,True
3,100,0.040000000000000036,0.888968687611256,0.0,0,True,INCONCLUSIVE,PASS,0.025430680885972112,True,False,False,True,FAIL,True
4,100,0.06000000000000005,0.8365012677171204,0.0,0,True,INCONCLUSIVE,PASS,0.018181818181818177,True,False,False,True,FAIL,True
5,100,0.06,0.8365012677171204,0.0,0,True,INCONCLUSIVE,PASS,0.03645413082882437,True,False,False,True,FAIL,True
6,100,0.030000000000000027,0.9159357352115255,0.0,0,True,FAIL,PASS,-0.055783429040196945,True,False,False,True,FAIL,True
7,100,0.07999999999999996,0.7858751946471527,0.0,0,True,INCONCLUSIVE,PASS,0.06663910047665737,True,False,False,True,FAIL,True
8,100,0.030000000000000027,0.9159357352115255,0.0,0,True,INCONCLUSIVE,PASS,0.08766905432960072,True,False,False,True,FAIL,True
9,100,0.09000000000000002,0.7612131404128832,0.0,0,True,INCONCLUSIVE,PASS,0.07711864406779657,True,False,False,True,FAIL,True
10,100,0.14,0.6438561897747247,0.0,0,True,INCONCLUSIVE,PASS,-0.003968253968253961,True,False,False,True,FAIL,True
11,100,0.010000000000000009,0.9714308478032291,0.0,0,True,INCONCLUSIVE,PASS,-0.011029411764705883,True,False,False,True,FAIL,True
12,100,0.040000000000000036,0.888968687611256,0.0,0,True,INCONCLUSIVE,PASS,-0.0369762208432387,True,False,False,True,FAIL,True
13,100,0.050000000000000044,0.862496476250065,0.0,0,True,INCONCLUSIVE,PASS,0.20412414523193143,False,False,False,True,FAIL,True
